"№ п/п","№ маршр.","Режим движения","Названия маршрута","Прямой путь","Обратный путь","Время нач. и оконч. работы маршрута","Кол-во
выездов
Раб.  (Вых.)","Кол-во оборотных
рейсов Раб. (Вых.)","Длина оборотн. рейса","Время оборотн.  рейса по паспорту"
,,"мт мк",,,,"06:00-22:00","25(25)","125(125)",,"104 мин"
,,"мт авт",,,,"06:05-22:00","1(-)","4(-)",,"108 мин"
28,128,"об авт","пл. Старосенная (ЦПУ «Вокзал») –                  пос. Ленинский 
(ул. Крайняя)","Старосенной проезд (Ж/д вокзал), пл.Старосенная, бул.Итальянский, ул.Пушкинская,  ул.Б.Арнаутская, ул.Мечникова, ул.Б.Хмельницкого, ул.Степовая, ул.Мельницкая, ул.В.Стуса, ул.Столбовая, Дальницкое шоссе, Тираспольское шоссе, ул. Ангарская,               ул. Магистральная, ул. Крайняя, 
ул. Крайняя угол ул. Южной","ул. Крайняя угол ул. Южной,
 ул. Крайняя, ул. Магистральная,
 ул. Нескучная, ул.Тираспольское шоссе, Дальницкое шоссе, ул.Столбовая, ул.В.Стуса, ул.Мельницкая, ул.Степовая, ул.Б.Хмельницкого, ул.М.Арнаутская, ул.Ришельевская, ул.Водопроводная, Старосенной проезд (ЖДВ)","05:35-20:00","4 (2)","16(8)","35,4 км","120 мин"
,128,"мт мк",,,,"05:40-21:45","4(4)","28(28)",,"101 мин"
29,129,"мт мк","Аэропорт – рынок «Привоз»","Аэропорт, ул. Центральный Аэропорт, 
ул. Гастелло, ул. Щорса, Ивановский путепровод, ул. Кордонная, 
ул. Малиновского, ул. Спартаковская, 
ул. Щорса, пл. Б.Деревянко, ул. Рекордная, ул. Малиновского, пр-т Адмиральский, ул. Черняховского, 
ул. Генуэзская, Аркадия, 
ул. Генуэзская, пл. 10-го Апреля, 
пр-т Шевченко, ул. Пироговская, 
ул. Мариинская, ул. Итальянский бульвар, ул. Л.Шмидта, 
ул. Пантелеймоновская, 
ул. Водопроводная, 
ул. Новощепной ряд, ул. Преображенская","ул. Преображенская, 
ул. Пантелеймоновская, 
ул. Водопроводная, ул. Итальянский бульвар, ул. Среднефонтанская, 
ул. Пироговская, пр-т Шевченко, пл. 10-го Арпеля, ул. Генуэзская, Аркадия, 
ул. Генуэзская,  ул. Черняховского, 
пр-т Адмиральский, ул. Малиновского, 
ул. Рекордная, пл. Б.Деревянко, ул. Щорса, 
ул. Спартаковская, ул. Малиновского, 
ул. Кордонная, Ивановский путепровод, 
ул. Щорса, ул. Гастелло,
 ул. Центральный Аэропорт, Аэропорт","07:00-19:00","2(2)","12(12)","34,2 км","60 мин"
,,"об мк",,,,,"1(-)","4(-)",,"70 мин"
30,130,"мт мк","Таврия-В Суворовский – 
ул. Жуковского","Таврия-В Суворовский (Старокиевское шоссе), ул.Паустовского, пр.Добровольского, Николаевская дорога, ул.Атамана Головатого, сп.Херсонский, ул.Пастера, ул.Преображенская, ул.Бунина, пр-т Александровский, ул.Жуковского","ул.Жуковского, ул.Преображенская,  ул.Софиевская, сп.Маринеско, ул.Черноморского казачества, Николаевская дорога, пр.Добровольского, ул.Паустовского, Старокиевское шоссе (Таврия-В Суворовский)","06:00-22:30","11(11)","77(77)","31,3 км","99 мин"
,130,"об авт",,,,"07:00-19:00","1 (-)","6 (-)","31,3 км","125 мин"
,130,"мт авт",,,,"06:00-22:30","2(-)","8(-)","31,3 км","114 мин"
31,131,"мт мк","пос. Шевченко –  
пл. Старосенная","пос.Шевченко, ул.Победы, ул.Центральная, ул.Луцкая, ул.Заболотного, пр.Добровольского, Николаевская дорога, ул.Атамана Головатого, сп.Херсонский, ул.Пастера, ул.Преображенская, ул.Бунина,
 ул. Екатеринеская, ул. Новощепной ряд, 
ул. Водопроводная, пл. Старосенная","пл. Старосенная, Итальянский бульвар, Новощепной ряд, ул. Екатеринеская, ул.Жуковского, ул. Преображенская, ул.Садовая, ул.Торговая, ул.Пастера, ул.Конная, ул.Софиевская, сп.Маринеско, ул.Черноморского казачества, Николаевская дорога, пр.Добровольского, ул.Заболотнго, ул.Луцкая, ул.Центральная, ул.Победы, пос.Шевченко","06:30-20:00","2 (2)","8 (8)","39,7 км","85 мин"
32,133,"об мк","ул. Ген.Петрова –
пр-т Александровский","ул. Ген. Петрова, ул. Ицхака Рабина, разворот возле рынка «Восход» угол 
ул. 25-й Чапаевской дивизии, 
ул. И. Рабина, пл.Б.Деревянко, ул.Филатова, ул.Космонавтов, Люстдорфская дор., ул.Водопроводная, пл.Привокзальная, ул.Пантелеймоновская, ул.Екатерининская, ул.Жуковского, просп. Александровский"," просп. Александровский, ул. Бунина, 
ул. Екатериниская, Новощепной ряд,  ул.Водопроводная, Люстдорфская дор., ул.Космонавтов, ул.Филатова, ул.И.Рабина, ул.Ген.Петрова, 54","06:50-18:00","2 (2)","12 (12)","19,5 км","62 мин"
,,"мт мк",,,,"06:30-21:30","18 (15)","144(105) (150)","19,5 км","54 мин"
33,135,"об авт","пл. Тираспольская-ОНПЗ","пл.Тираспольская,  ул.Нежинская,  ул.Ольгиевская, ул.Старопортофранковская,  сп.Ольгиевский, сп.Краснослободской,  ул.Краснослободская, ул. Ширшова, ул.Слободская,  ул. Ак.Воробьева,  ул.Агрономическая, ул. Хуторская,  Дорога на кирпичный завод, Нефтеперерабатывающий  Завод","Нефтеперерабатывающий завод, Дорога на кирпичный завод, ул.Хуторская, ул.Агрономическая,  ул.Краснослободская, сп.Краснослободской, сп.Скидановский, ул.Манежная, ул.Ольгиевская, ул.Нежинская, пл.Тираспольская","06:30-19:30","1 (1)","6 (6)","13,9 км","50 мин"
34,137,"мт мк","ул. Ген. Петрова – ЦПУ «Мост»","ул.Ген.Петрова ( ""Сельпо""), ул.Радостная, пл.Б.Деревянко, ул.И.Рабина, ул.Малиновского, пр.Адмиральский, ул.Черняховского, пр.Шевченко, ул.Пироговская, ул.Мариинская, бул.Итальянский, ул.Канатная, ул.Греческая, ул.Екатерининская, 
ул. Ланжероновская, ул.Гаванная, пер.Маяковского, ул.Гоголя, пер.Некрасова, ул.Софиевская, 
сп Маринеско, ул. Черноморского казачества, ул. Церковная, ул. Щеголева, ул.Одария","ул.Одария, ул. Балковская, 
сп. Маринеско, ул.Софиевская, 
ул. Пренображенская, пер. Маяковского, ул.Гоголя, ул.Сабанеев мост, ул.Екатерининская, ул.Ланжероновская, ул.Ришельевская, ул.Бунина, ул.Канатная, ул.Пироговская, пр.Шевченко, ул.Черняховского, пр.Адмиральский, ул.Малиновского, ул.И.Рабина, пл.Б.Деревянко, ул.Радостная, ул.Ген.Петрова, ул. Ицхака Рабина, 
ул. 25 Чапаевской дивизии, ул. Гайдара, ул.Ген.Петрова, ул.Ген.Петрова (""Сельпо"")","06:00-23:00","16(16)","112(112)","32,2 км","86 мин"
,,"об мк",,,,"07.00-20.00","1(-)","4(-)",,"100 мин"
35,140,"об авт","Деткомбинат – мост Пересыпь","Днепропетровская дор. (Деткомбинат), Южная дорога, Николаевская дорога, ул.Атамана Головатого, ул.Одария","ул.Одария, ул.Черноморского казачества, Николаевская дорога, Южная дор., Днепропетровская дор (Деткомбинат)","07:20-18:30","1 (-)","4 (-)","27,1 км","75 мин"
36,141,"мт мк","ул. Паустовского – мост «Пересыпь»","ул. Паустовского, ул. Днепропетровская дорога, ул. Николаевская дорога, 
ул. Ат.Головатого, ул. Одария (мост ""Пересыпь"")","ул. Одария (мост ""Пересыпь""), 
ул. Черноморского казачества, 
ул. Николаевская дор., 
ул. Днепропетровская дор.,
 ул. Паустовского","07.00-21.00","4/0","28/0","28,2 км","120 мин"
37,144,"об авт","Ж/Д вокзал - Деткомбинат","Деткомбинат, Днепропетровская дор, Южная дор., Николаевская дор, ул.Ат.Головатого, ул.Приморская, сп.Польский, ул.Польская, ул.Еврейская, ул.Осипова, ул.М.Арнаутская, ул.Гимназическая, ул.Пантелеймоновская ( Ж/д вокзал)","ул.Пантелеймоновская (Ж\д вокзал), ул.Пушкинская, ул.М.Арнаутская, ул.Осипова, ул.Еврейская, ул.Польская, сп.Польский, ул.Приморская, ул.Черноморского казачества, Николаевская дор, Южная дор., Днепропетровская дорога, Деткомбинат","06:20-19:00","3(1)","12(4)","36,2 км","110 мин"
